Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
aalr3;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;42.771.949/0001-35;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;1145368000;2573833000;457827000;808798000;240190000;568608000;2518454053;3087062053;118292816;Novo Mercado;35.52;21.12;13.60;21.60;-;45.86
abcb4;BCO ABC BRASIL S.A.;28.195.667/0001-06;Financeiro e Outros;Intermediários Financeiros;Bancos;5070725000;52140478000;4297215000;-;4297215000;-;4517280558;4517280558;226090118;Nível 2;29.88;20.23;14.47;22.29;6.92;36.78
abev3;AMBEV S.A.;07.526.557/0001-00;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes;90178032000;142063954000;41556965000;2980480000;19059870000;-16079390000;229008153014;212928763014;15750216851;;27.85;14.35;12.47;16.03;5.19;0.77
aeri3;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A;12.528.708/0001-07;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;942087000;3459015000;2285013000;1573577000;856392000;717185000;888807609;1605992609;766213456;Novo Mercado;29.64;1.12;0.88;6.54;1.83;-81.24
aesb3;AES BRASIL ENERGIA S.A.;37.663.076/0001-07;Utilidade Pública;Energia Elétrica;Energia Elétrica;4175175000;15104672000;4091868000;7893505000;3455382000;4438123000;5603943265;10042066265;601927311;Novo Mercado;52.37;9.28;9.05;12.06;1.16;-13.03
aflt3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;10.338.320/0001-00;Utilidade Pública;Energia Elétrica;Energia Elétrica;271493000;314644000;79408000;389000;31318000;-30929000;592996180;562067180;63084700;;1.37;9.40;8.14;10.50;2.51;15.48
agro3;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;07.628.528/0001-59;Consumo não Cíclico;Agropecuária;Agricultura;2216048000;3345263000;1588564000;702192000;530363000;171829000;2855294753;3027123753;102377008;Novo Mercado;57.84;28.07;20.04;31.53;18.61;18.94
agxy3;AGROGALAXY PARTICIPAÇÕES S.A.;21.240.146/0001-84;Consumo não Cíclico;Agropecuária;Agricultura;1255444000;7836693000;6275065000;1749238000;436609000;1312629000;1674084892;2986713892;170824989;Novo Mercado;37.88;9.79;6.66;12.00;1.71;-4.21
aheb3;SAO PAULO TURISMO S.A.;62.002.886/0001-60;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;-80875000;290088000;74583000;4051000;3242000;809000;170784028;171593028;8543894;;3.25;20.00;17.00;30.00;-;-29.80
aheb5;SAO PAULO TURISMO S.A.;62.002.886/0001-60;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;-80875000;290088000;74583000;4051000;3242000;809000;170784028;171593028;8543894;;3.25;22.00;-;-;-;-
aheb6;SAO PAULO TURISMO S.A.;62.002.886/0001-60;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;-80875000;290088000;74583000;4051000;3242000;809000;170784028;171593028;8543894;;3.25;19.31;19.31;41.20;-;-53.13
alld3;ALLIED TECNOLOGIA S.A.;20.247.322/0001-47;Consumo Cíclico;Comércio;Eletrodomésticos;1505197000;4194455000;3003523000;635666000;303754000;331912000;585425255;917337255;93220582;Novo Mercado;26.41;6.21;5.41;16.20;14.90;-61.67
alpa3;ALPARGATAS S.A.;61.079.117/0001-05;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;5860168000;7909699000;3141501000;381066000;240984000;140082000;9202746529;9342828529;683062222;Nível 1;31.69;12.15;10.89;28.75;-;-57.74
alpa4;ALPARGATAS S.A.;61.079.117/0001-05;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;5860168000;7909699000;3141501000;381066000;240984000;140082000;9202746529;9342828529;683062222;Nível 1;31.69;14.85;13.26;33.45;-;-55.61
alpk3;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;60.537.263/0001-66;Bens Industriais;Serviços;Serviços Diversos;459504000;2607597000;293216000;1391462000;118342000;1273120000;398833333;1671953333;214426523;Novo Mercado;41.17;1.82;1.38;5.27;-;-56.67
also3;ALIANSCE SONAE SHOPPING CENTERS S.A.;05.878.397/0001-32;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis;6924053000;12330073000;3185608000;0;2633946000;-2633946000;10456710088;7822764088;592112689;Novo Mercado;20.68;17.76;15.58;23.45;2.16;-6.48
alup11;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Utilidade Pública;Energia Elétrica;Energia Elétrica;7282800000;27196461000;4906614000;10782022000;2305417000;8476605000;8339835572;16816440572;879111269;Nível 2;47.84;28.33;22.58;29.15;4.31;25.47
alup3;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Utilidade Pública;Energia Elétrica;Energia Elétrica;7282800000;27196461000;4906614000;10782022000;2305417000;8476605000;8339835572;16816440572;879111269;Nível 2;47.84;9.38;7.45;10.30;4.34;25.07
